ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,timestamp,price
468,BHMBCCMKT01,577,26.14453614,91.73617216,50,car,low,1,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.0
469,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,low,1,0,01-11-2016,08:26:00,2016-01-11 08:26:00,10.173310225303293
470,BHMBCCMKT01,577,26.14453614,91.73617216,69,car,average,2,0,01-11-2016,09:00:00,2016-01-11 09:00:00,10.36048526863085
471,BHMBCCMKT01,577,26.14453614,91.73617216,91,car,low,1,0,01-11-2016,09:26:00,2016-01-11 09:26:00,10.599653379549395
472,BHMBCCMKT01,577,26.14453614,91.73617216,135,truck,average,3,0,01-11-2016,10:00:00,2016-01-11 10:00:00,10.915077989601388
473,BHMBCCMKT01,577,26.14453614,91.73617216,163,truck,average,4,0,01-11-2016,10:26:00,2016-01-11 10:26:00,11.383015597920279
474,BHMBCCMKT01,577,26.14453614,91.73617216,185,car,average,5,0,01-11-2016,11:00:00,2016-01-11 11:00:00,11.948006932409013
475,BHMBCCMKT01,577,26.14453614,91.73617216,207,bike,average,4,0,01-11-2016,11:26:00,2016-01-11 11:26:00,12.589254766031198
476,BHMBCCMKT01,577,26.14453614,91.73617216,239,car,high,7,0,01-11-2016,12:00:00,2016-01-11 12:00:00,13.30675909878683
477,BHMBCCMKT01,577,26.14453614,91.73617216,244,car,high,7,0,01-11-2016,12:26:00,2016-01-11 12:26:00,14.13518197573657
478,BHMBCCMKT01,577,26.14453614,91.73617216,243,car,high,8,0,01-11-2016,13:00:00,2016-01-11 13:00:00,14.98093587521664
479,BHMBCCMKT01,577,26.14453614,91.73617216,241,car,high,7,0,01-11-2016,13:26:00,2016-01-11 13:26:00,15.823223570190642
480,BHMBCCMKT01,577,26.14453614,91.73617216,229,car,average,4,0,01-11-2016,14:00:00,2016-01-11 14:00:00,16.658578856152513
481,BHMBCCMKT01,577,26.14453614,91.73617216,199,truck,average,3,0,01-11-2016,14:26:00,2016-01-11 14:26:00,17.452339688041594
482,BHMBCCMKT01,577,26.14453614,91.73617216,180,bike,average,2,0,01-11-2016,15:00:00,2016-01-11 15:00:00,18.142114384748698
483,BHMBCCMKT01,577,26.14453614,91.73617216,167,bike,low,2,0,01-11-2016,15:27:00,2016-01-11 15:27:00,18.76603119584055
484,BHMBCCMKT01,577,26.14453614,91.73617216,153,car,low,1,0,01-11-2016,16:00:00,2016-01-11 16:00:00,19.34488734835355
485,BHMBCCMKT01,577,26.14453614,91.73617216,133,car,low,1,0,01-11-2016,16:33:00,2016-01-11 16:33:00,19.875216637781627
1008,BHMBCCMKT01,577,26.14453614,91.73617216,22,bike,low,1,0,01-12-2016,08:05:00,2016-01-12 08:05:00,20.336221837088384
1009,BHMBCCMKT01,577,26.14453614,91.73617216,22,bike,low,1,0,01-12-2016,08:25:00,2016-01-12 08:25:00,20.412478336221834
1010,BHMBCCMKT01,577,26.14453614,91.73617216,31,car,low,2,0,01-12-2016,08:58:00,2016-01-12 08:58:00,20.488734835355285
1011,BHMBCCMKT01,577,26.14453614,91.73617216,47,car,low,2,0,01-12-2016,09:25:00,2016-01-12 09:25:00,20.596187175043326
1012,BHMBCCMKT01,577,26.14453614,91.73617216,94,truck,low,2,0,01-12-2016,09:58:00,2016-01-12 09:58:00,20.75909878682842
1013,BHMBCCMKT01,577,26.14453614,91.73617216,127,car,low,2,0,01-12-2016,10:25:00,2016-01-12 10:25:00,21.08492201039861
1014,BHMBCCMKT01,577,26.14453614,91.73617216,153,bike,high,5,0,01-12-2016,10:58:00,2016-01-12 10:58:00,21.525129982668975
1015,BHMBCCMKT01,577,26.14453614,91.73617216,174,cycle,high,6,0,01-12-2016,11:32:00,2016-01-12 11:32:00,22.055459272097053
1016,BHMBCCMKT01,577,26.14453614,91.73617216,196,car,average,4,0,01-12-2016,11:58:00,2016-01-12 11:58:00,22.658578856152513
1017,BHMBCCMKT01,577,26.14453614,91.73617216,191,bike,high,7,0,01-12-2016,12:25:00,2016-01-12 12:25:00,23.337954939341422
1018,BHMBCCMKT01,577,26.14453614,91.73617216,207,car,high,7,0,01-12-2016,12:58:00,2016-01-12 12:58:00,24.0
1019,BHMBCCMKT01,577,26.14453614,91.73617216,203,car,high,7,0,01-12-2016,13:25:00,2016-01-12 13:25:00,24.71750433275563
1020,BHMBCCMKT01,577,26.14453614,91.73617216,190,car,average,5,0,01-12-2016,13:58:00,2016-01-12 13:58:00,25.421143847487
1021,BHMBCCMKT01,577,26.14453614,91.73617216,173,bike,average,3,0,01-12-2016,14:25:00,2016-01-12 14:25:00,26.07972270363951
1022,BHMBCCMKT01,577,26.14453614,91.73617216,168,bike,average,3,0,01-12-2016,14:58:00,2016-01-12 14:58:00,26.679376083188906
1023,BHMBCCMKT01,577,26.14453614,91.73617216,153,bike,low,3,0,01-12-2016,15:25:00,2016-01-12 15:25:00,27.26169844020797
1024,BHMBCCMKT01,577,26.14453614,91.73617216,123,car,low,2,0,01-12-2016,15:58:00,2016-01-12 15:58:00,27.792027729636047
1025,BHMBCCMKT01,577,26.14453614,91.73617216,108,car,low,2,0,01-12-2016,16:25:00,2016-01-12 16:25:00,28.218370883882148
486,BHMBCCMKT01,577,26.14453614,91.73617216,50,bike,low,1,0,02-11-2016,07:56:00,2016-02-11 07:56:00,28.59272097053726
487,BHMBCCMKT01,577,26.14453614,91.73617216,52,car,low,1,0,02-11-2016,08:30:00,2016-02-11 08:30:00,28.766031195840554
