ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,timestamp,price,occ_ratio,vehicle_weight,traffic,demand_raw,demand_norm
468,BHMBCCMKT01,577,26.14453614,91.73617216,50,car,low,1,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.587589990075887,0.08665511265164645,1.0,1,1.673310225303293,0.11751799801517768
1780,BHMBCCTHL01,387,26.14449459,91.73620513,90,bike,average,1,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.5,0.23255813953488372,0.5,2,0.4651162790697674,0.0
3092,BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.781011575275736,0.24893617021276596,1.0,1,3.497872340425532,0.15620231505514745
4404,BHMMBMMBX01,687,20.0000347,78.00000286,324,bike,low,2,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.504137452380808,0.47161572052401746,0.5,1,3.443231441048035,0.10082749047616162
5716,BHMNCPHST01,1200,26.14001386,91.73099967,263,truck,low,2,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.781894769590231,0.21916666666666668,1.5,1,3.9383333333333335,0.15637895391804615
5717,BHMNCPHST01,1200,26.14001386,91.73099967,263,car,low,2,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.650188744392551,0.21916666666666668,1.0,1,3.4383333333333335,0.13003774887851002
7028,BHMNCPNST01,485,26.14004753,91.73097233,178,car,low,1,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.754559446140327,0.3670103092783505,1.0,1,2.234020618556701,0.048487513550538444
8340,Broad Street,690,26.13795775,91.74099445,183,car,low,2,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.64535536327227,0.26521739130434785,1.0,1,3.5304347826086957,0.12907107265445353
9652,Others-CCCPS105a,2009,26.14747299,91.72804914,615,car,low,2,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.919431609262478,0.30612244897959184,1.0,1,3.612244897959184,0.07989173509761463
10964,Others-CCCPS119a,2803,26.14754061,91.72797041,180,car,low,2,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.577861483023696,0.06421691045308597,1.0,1,3.1284338209061717,0.11557229660473914
12276,Others-CCCPS135a,3883,26.14749943,91.72800489,1162,car,low,2,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.913545633763775,0.2992531547772341,1.0,1,3.5985063095544683,0.07877059690738512
13588,Others-CCCPS202,2937,26.14749053,91.72799688,451,car,low,2,0,01-11-2016,08:06:00,2016-01-11 08:06:00,11.00104478115244,0.15355805243445692,1.0,1,3.3071161048689137,0.0954371011718933
14900,Others-CCCPS8,1322,26.14754886,91.72799519,291,car,low,2,0,01-11-2016,08:06:00,2016-01-11 08:06:00,11.02530728997244,0.2201210287443268,1.0,1,3.4402420574886534,0.10005853142332181
16212,Others-CCCPS98,3103,26.14749998,91.72797778,592,car,low,3,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.853766448637902,0.19078311311633903,1.0,1,4.881566226232678,0.17075328972758033
17524,Shopping,1920,26.15050395,91.73353109,631,car,low,1,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.203866607190015,0.32864583333333336,1.0,1,2.1572916666666666,0.04077332143800302
469,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,low,1,0,01-11-2016,08:26:00,2016-01-11 08:26:00,10.591405509491965,0.09358752166377816,1.0,1,1.6871750433275563,0.11828110189839311
1781,BHMBCCTHL01,387,26.14449459,91.73620513,104,truck,low,1,0,01-11-2016,08:26:00,2016-01-11 08:26:00,11.06925569927642,0.268733850129199,1.5,1,2.537467700258398,0.10842965700503247
3093,BHMEURBRD01,470,26.14901995,91.7395035,163,truck,low,2,0,01-11-2016,08:26:00,2016-01-11 08:26:00,10.972890452146636,0.3468085106382979,1.5,1,4.193617021276596,0.19457809042932722
4405,BHMMBMMBX01,687,20.0000347,78.00000286,352,car,average,3,0,01-11-2016,08:26:00,2016-01-11 08:26:00,10.778369919705606,0.512372634643377,1.0,2,4.524745269286754,0.15567398394112106
5718,BHMNCPHST01,1200,26.14001386,91.73099967,328,car,low,2,0,01-11-2016,08:26:00,2016-01-11 08:26:00,10.678725049852048,0.2733333333333333,1.0,1,3.546666666666667,0.13574500997040953
8341,Broad Street,690,26.13795775,91.74099445,255,truck,low,2,0,01-11-2016,08:26:00,2016-01-11 08:26:00,10.829259076932022,0.3695652173913043,1.5,1,4.239130434782608,0.16585181538640445
9653,Others-CCCPS105a,2009,26.14747299,91.72804914,667,car,low,3,0,01-11-2016,08:26:00,2016-01-11 08:26:00,10.79410688364338,0.3320059731209557,1.0,1,5.164011946241912,0.1588213767286758
10965,Others-CCCPS119a,2803,26.14754061,91.72797041,219,car,low,2,0,01-11-2016,08:26:00,2016-01-11 08:26:00,11.114230444999043,0.07813057438458794,1.0,1,3.156261148769176,0.11699627523791288
12277,Others-CCCPS135a,3883,26.14749943,91.72800489,1484,truck,low,3,0,01-11-2016,08:26:00,2016-01-11 08:26:00,10.876274132214691,0.38217872778779294,1.5,1,5.764357455575586,0.1752548264429384
13589,Others-CCCPS202,2937,26.14749053,91.72799688,545,car,average,3,0,01-11-2016,08:26:00,2016-01-11 08:26:00,11.160383735630164,0.18556350017024173,1.0,2,3.8711270003404836,0.1257873782152693
14901,Others-CCCPS8,1322,26.14754886,91.72799519,315,car,low,2,0,01-11-2016,08:26:00,2016-01-11 08:26:00,11.035141435806558,0.23827534039334342,1.0,1,3.476550680786687,0.10193170205839182
16213,Others-CCCPS98,3103,26.14749998,91.72797778,653,bike,low,3,0,01-11-2016,08:26:00,2016-01-11 08:26:00,10.741782309689619,0.21044150821785368,0.5,1,4.420883016435708,0.14835646193792343
17525,Shopping,1920,26.15050395,91.73353109,748,bike,low,3,0,01-11-2016,08:26:00,2016-01-11 08:26:00,10.866828170881575,0.38958333333333334,0.5,1,4.779166666666667,0.17336563417631518
470,BHMBCCMKT01,577,26.14453614,91.73617216,69,car,average,2,0,01-11-2016,09:00:00,2016-01-11 09:00:00,10.74331087624454,0.1195840554592721,1.0,2,2.2391681109185444,0.1486621752489078
1782,BHMBCCTHL01,387,26.14449459,91.73620513,130,car,low,1,0,01-11-2016,09:00:00,2016-01-11 09:00:00,10.968819687496355,0.3359173126614987,1.0,1,2.1718346253229974,0.08929898809454359
3094,BHMEURBRD01,470,26.14901995,91.7395035,279,car,average,3,0,01-11-2016,09:00:00,2016-01-11 09:00:00,11.109024701180424,0.5936170212765958,1.0,2,4.687234042553191,0.22180494023608469
4406,BHMMBMMBX01,687,20.0000347,78.00000286,404,truck,low,2,0,01-11-2016,09:00:00,2016-01-11 09:00:00,10.816755083368834,0.5880640465793304,1.5,1,4.676128093158661,0.16335101667376678
5719,BHMNCPHST01,1200,26.14001386,91.73099967,457,truck,low,2,0,01-11-2016,09:00:00,2016-01-11 09:00:00,10.867064665884731,0.38083333333333336,1.5,1,4.261666666666667,0.17341293317694617
7030,BHMNCPNST01,485,26.14004753,91.73097233,208,bike,low,2,0,01-11-2016,09:00:00,2016-01-11 09:00:00,11.114442450411348,0.4288659793814433,0.5,1,3.3577319587628867,0.11703665722120889
8342,Broad Street,690,26.13795775,91.74099445,427,car,low,3,0,01-11-2016,09:00:00,2016-01-11 09:00:00,11.218127052237106,0.618840579710145,1.0,1,5.73768115942029,0.24362541044742134
9654,Others-CCCPS105a,2009,26.14747299,91.72804914,771,car,low,3,0,01-11-2016,09:00:00,2016-01-11 09:00:00,10.820437862728,0.3837730214036834,1.0,1,5.267546042807367,0.16408757254559983
10966,Others-CCCPS119a,2803,26.14754061,91.72797041,295,car,low,2,0,01-11-2016,09:00:00,2016-01-11 09:00:00,11.128798841784588,0.10524438102033536,1.0,1,3.210488762040671,0.1197712079589694
12278,Others-CCCPS135a,3883,26.14749943,91.72800489,2010,car,average,4,0,01-11-2016,09:00:00,2016-01-11 09:00:00,10.936619797774386,0.5176409992274015,1.0,2,6.035281998454803,0.18732395955487682
13590,Others-CCCPS202,2937,26.14749053,91.72799688,741,car,low,2,0,01-11-2016,09:00:00,2016-01-11 09:00:00,11.056835057999455,0.2522982635342186,1.0,1,3.504596527068437,0.10606382057132469
14902,Others-CCCPS8,1322,26.14754886,91.72799519,367,bike,low,2,0,01-11-2016,09:00:00,2016-01-11 09:00:00,10.921024368523154,0.27760968229954613,0.5,1,3.0552193645990924,0.08019511781393383
16214,Others-CCCPS98,3103,26.14749998,91.72797778,777,cycle,low,2,0,01-11-2016,09:00:00,2016-01-11 09:00:00,10.865367935735646,0.25040283596519497,0.3,1,2.80080567193039,0.0695938925210753
17526,Shopping,1920,26.15050395,91.73353109,956,bike,low,3,0,01-11-2016,09:00:00,2016-01-11 09:00:00,10.921614029144527,0.4979166666666667,0.5,1,4.995833333333334,0.18432280582890515
471,BHMBCCMKT01,577,26.14453614,91.73617216,91,car,low,1,0,01-11-2016,09:26:00,2016-01-11 09:26:00,11.158034017295215,0.15771230502599654,1.0,1,1.815424610051993,0.12533981281813592
1783,BHMBCCTHL01,387,26.14449459,91.73620513,155,car,low,2,0,01-11-2016,09:26:00,2016-01-11 09:26:00,10.872710019909581,0.4005167958656331,1.0,1,3.801033591731266,0.17454200398191638
