ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,timestamp,price,occ_ratio,vehicle_weight,traffic,demand_raw,demand_norm
468,BHMBCCMKT01,577,26.14453614,91.73617216,50,car,low,1,0,01-11-2016,08:06:00,2016-01-11 08:06:00,10.587589990075887,0.08665511265164645,1.0,1,1.673310225303293,0.11751799801517768
469,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,low,1,0,01-11-2016,08:26:00,2016-01-11 08:26:00,10.591405509491965,0.09358752166377816,1.0,1,1.6871750433275563,0.11828110189839311
470,BHMBCCMKT01,577,26.14453614,91.73617216,69,car,average,2,0,01-11-2016,09:00:00,2016-01-11 09:00:00,10.74331087624454,0.1195840554592721,1.0,2,2.2391681109185444,0.1486621752489078
471,BHMBCCMKT01,577,26.14453614,91.73617216,91,car,low,1,0,01-11-2016,09:26:00,2016-01-11 09:26:00,10.62669906409068,0.15771230502599654,1.0,1,1.815424610051993,0.12533981281813592
472,BHMBCCMKT01,577,26.14453614,91.73617216,135,truck,average,3,0,01-11-2016,10:00:00,2016-01-11 10:00:00,11.356655622378948,0.2339688041594454,1.5,2,4.46793760831889,0.27133112447578966
473,BHMBCCMKT01,577,26.14453614,91.73617216,163,truck,average,4,0,01-11-2016,10:26:00,2016-01-11 10:26:00,11.79615576511834,0.2824956672443674,1.5,2,6.0649913344887345,0.3592311530236681
474,BHMBCCMKT01,577,26.14453614,91.73617216,185,car,average,5,0,01-11-2016,11:00:00,2016-01-11 11:00:00,12.092335459791332,0.32062391681109187,1.0,2,7.1412478336221845,0.41846709195826665
475,BHMBCCMKT01,577,26.14453614,91.73617216,207,bike,average,4,0,01-11-2016,11:26:00,2016-01-11 11:26:00,11.562932140810622,0.3587521663778163,0.5,2,5.217504332755633,0.3125864281621244
476,BHMBCCMKT01,577,26.14453614,91.73617216,239,car,high,7,0,01-11-2016,12:00:00,2016-01-11 12:00:00,12.69423364767751,0.41421143847487,1.0,3,9.32842287694974,0.5388467295355021
477,BHMBCCMKT01,577,26.14453614,91.73617216,244,car,high,7,0,01-11-2016,12:26:00,2016-01-11 12:26:00,12.699003046947608,0.42287694974003465,1.0,3,9.34575389948007,0.5398006093895213
478,BHMBCCMKT01,577,26.14453614,91.73617216,243,car,high,8,0,01-11-2016,13:00:00,2016-01-11 13:00:00,13.11084067392044,0.42114384748700173,1.0,3,10.842287694974004,0.622168134784088
479,BHMBCCMKT01,577,26.14453614,91.73617216,241,car,high,7,0,01-11-2016,13:26:00,2016-01-11 13:26:00,12.696141407385548,0.41767764298093585,1.0,3,9.335355285961871,0.5392282814771098
480,BHMBCCMKT01,577,26.14453614,91.73617216,229,car,average,4,0,01-11-2016,14:00:00,2016-01-11 14:00:00,11.721514666541331,0.3968804159445407,1.0,2,5.793760831889081,0.34430293330826606
481,BHMBCCMKT01,577,26.14453614,91.73617216,199,truck,average,3,0,01-11-2016,14:26:00,2016-01-11 14:26:00,11.417703933036183,0.34488734835355284,1.5,2,4.689774696707106,0.28354078660723675
482,BHMBCCMKT01,577,26.14453614,91.73617216,180,bike,average,2,0,01-11-2016,15:00:00,2016-01-11 15:00:00,10.711594371098396,0.3119584055459272,0.5,2,2.1239168110918545,0.14231887421967945
483,BHMBCCMKT01,577,26.14453614,91.73617216,167,bike,low,2,0,01-11-2016,15:27:00,2016-01-11 15:27:00,10.974388270880715,0.28942807625649913,0.5,1,3.0788561525129983,0.19487765417614283
484,BHMBCCMKT01,577,26.14453614,91.73617216,153,car,low,1,0,01-11-2016,16:00:00,2016-01-11 16:00:00,10.685839615039876,0.2651646447140381,1.0,1,2.0303292894280762,0.13716792300797523
485,BHMBCCMKT01,577,26.14453614,91.73617216,133,car,low,1,0,01-11-2016,16:33:00,2016-01-11 16:33:00,10.66676201795949,0.23050259965337955,1.0,1,1.9610051993067592,0.13335240359189804
1008,BHMBCCMKT01,577,26.14453614,91.73617216,22,bike,low,1,0,01-12-2016,08:05:00,2016-01-12 08:05:00,10.423284185221064,0.038128249566724434,0.5,1,1.076256499133449,0.08465683704421281
1009,BHMBCCMKT01,577,26.14453614,91.73617216,22,bike,low,1,0,01-12-2016,08:25:00,2016-01-12 08:25:00,10.423284185221064,0.038128249566724434,0.5,1,1.076256499133449,0.08465683704421281
1010,BHMBCCMKT01,577,26.14453614,91.73617216,31,car,low,2,0,01-12-2016,08:58:00,2016-01-12 08:58:00,10.982257779676374,0.053726169844020795,1.0,1,3.1074523396880416,0.19645155593527466
1011,BHMBCCMKT01,577,26.14453614,91.73617216,47,car,low,2,0,01-12-2016,09:25:00,2016-01-12 09:25:00,10.997519857340682,0.08145580589254767,1.0,1,3.1629116117850953,0.19950397146813642
1012,BHMBCCMKT01,577,26.14453614,91.73617216,94,truck,low,2,0,01-12-2016,09:58:00,2016-01-12 09:58:00,11.179949379421874,0.16291161178509533,1.5,1,3.8258232235701906,0.23598987588437464
1013,BHMBCCMKT01,577,26.14453614,91.73617216,127,car,low,2,0,01-12-2016,10:25:00,2016-01-12 10:25:00,11.073830245662226,0.22010398613518198,1.0,1,3.440207972270364,0.2147660491324452
1014,BHMBCCMKT01,577,26.14453614,91.73617216,153,bike,high,5,0,01-12-2016,10:58:00,2016-01-12 10:58:00,11.649019797635864,0.2651646447140381,0.5,3,5.530329289428076,0.32980395952717273
1015,BHMBCCMKT01,577,26.14453614,91.73617216,174,cycle,high,6,0,01-12-2016,11:32:00,2016-01-12 11:32:00,12.026803913820208,0.30155979202772965,0.3,3,6.903119584055459,0.4053607827640414
1016,BHMBCCMKT01,577,26.14453614,91.73617216,196,car,average,4,0,01-12-2016,11:58:00,2016-01-12 11:58:00,11.690036631358694,0.3396880415944541,1.0,2,5.679376083188908,0.3380073262717387
1017,BHMBCCMKT01,577,26.14453614,91.73617216,191,bike,high,7,0,01-12-2016,12:25:00,2016-01-12 12:25:00,12.5108502457423,0.3310225303292894,0.5,3,8.66204506065858,0.5021700491484601
1018,BHMBCCMKT01,577,26.14453614,91.73617216,207,car,high,7,0,01-12-2016,12:58:00,2016-01-12 12:58:00,12.663709492348893,0.3587521663778163,1.0,3,9.217504332755633,0.5327418984697786
1019,BHMBCCMKT01,577,26.14453614,91.73617216,203,car,high,7,0,01-12-2016,13:25:00,2016-01-12 13:25:00,12.659893972932817,0.35181975736568455,1.0,3,9.20363951473137,0.5319787945865632
1020,BHMBCCMKT01,577,26.14453614,91.73617216,190,car,average,5,0,01-12-2016,13:58:00,2016-01-12 13:58:00,12.09710485906143,0.3292894280762565,1.0,2,7.158578856152513,0.4194209718122859
1021,BHMBCCMKT01,577,26.14453614,91.73617216,173,bike,average,3,0,01-12-2016,14:25:00,2016-01-12 14:25:00,11.117708718947114,0.29982668977469673,0.5,2,3.5996533795493937,0.2235417437894228
1022,BHMBCCMKT01,577,26.14453614,91.73617216,168,bike,average,3,0,01-12-2016,14:58:00,2016-01-12 14:58:00,11.112939319677018,0.29116117850953205,0.5,2,3.5823223570190645,0.2225878639354035
1023,BHMBCCMKT01,577,26.14453614,91.73617216,153,bike,low,3,0,01-12-2016,15:25:00,2016-01-12 15:25:00,11.373825459751297,0.2651646447140381,0.5,1,4.530329289428076,0.27476509195025917
1024,BHMBCCMKT01,577,26.14453614,91.73617216,123,car,low,2,0,01-12-2016,15:58:00,2016-01-12 15:58:00,11.07001472624615,0.21317157712305027,1.0,1,3.4263431542461005,0.21400294524922978
1025,BHMBCCMKT01,577,26.14453614,91.73617216,108,car,low,2,0,01-12-2016,16:25:00,2016-01-12 16:25:00,11.05570652843586,0.18717504332755633,1.0,1,3.3743500866551126,0.21114130568717188
486,BHMBCCMKT01,577,26.14453614,91.73617216,50,bike,low,1,0,02-11-2016,07:56:00,2016-02-11 07:56:00,10.449992821133606,0.08665511265164645,0.5,1,1.173310225303293,0.0899985642267209
487,BHMBCCMKT01,577,26.14453614,91.73617216,52,car,low,1,0,02-11-2016,08:30:00,2016-02-11 08:30:00,10.589497749783927,0.09012131715771231,1.0,1,1.6802426343154246,0.1178995499567854
488,BHMBCCMKT01,577,26.14453614,91.73617216,57,car,low,2,0,02-11-2016,08:56:00,2016-02-11 08:56:00,11.007058655880876,0.09878682842287695,1.0,1,3.197573656845754,0.20141173117617503
489,BHMBCCMKT01,577,26.14453614,91.73617216,81,car,average,2,0,02-11-2016,09:30:00,2016-02-11 09:30:00,10.75475743449277,0.14038128249566725,1.0,2,2.2807625649913343,0.1509514868985541
490,BHMBCCMKT01,577,26.14453614,91.73617216,97,car,average,2,0,02-11-2016,09:56:00,2016-02-11 09:56:00,10.770019512157079,0.1681109185441941,1.0,2,2.336221837088388,0.15400390243141585
491,BHMBCCMKT01,577,26.14453614,91.73617216,125,car,low,3,0,02-11-2016,10:29:00,2016-02-11 10:29:00,11.484713992781039,0.21663778162911612,1.0,1,4.933275563258232,0.29694279855620787
492,BHMBCCMKT01,577,26.14453614,91.73617216,144,car,average,3,0,02-11-2016,10:56:00,2016-02-11 10:56:00,11.227643372122838,0.24956672443674177,1.0,2,3.9991334488734838,0.24552867442456766
493,BHMBCCMKT01,577,26.14453614,91.73617216,167,car,average,4,0,02-11-2016,11:30:00,2016-02-11 11:30:00,11.662374115592133,0.28942807625649913,1.0,2,5.578856152512998,0.33247482311842674
494,BHMBCCMKT01,577,26.14453614,91.73617216,169,bike,average,5,0,02-11-2016,11:56:00,2016-02-11 11:56:00,11.93947621318474,0.292894280762565,0.5,2,6.5857885615251295,0.387895242636948
495,BHMBCCMKT01,577,26.14453614,91.73617216,184,car,high,7,0,02-11-2016,12:30:00,2016-02-11 12:30:00,12.641770255706447,0.3188908145580589,1.0,3,9.137781629116118,0.5283540511412897
496,BHMBCCMKT01,577,26.14453614,91.73617216,192,car,average,4,0,02-11-2016,13:03:00,2016-02-11 13:03:00,11.686221111942617,0.3327556325823224,1.0,2,5.665511265164644,0.33724422238852325
497,BHMBCCMKT01,577,26.14453614,91.73617216,188,car,average,4,0,02-11-2016,13:30:00,2016-02-11 13:30:00,11.682405592526539,0.32582322357019067,1.0,2,5.651646447140381,0.3364811185053078
498,BHMBCCMKT01,577,26.14453614,91.73617216,188,bike,average,3,0,02-11-2016,14:03:00,2016-02-11 14:03:00,11.132016916757404,0.32582322357019067,0.5,2,3.651646447140381,0.2264033833514807
499,BHMBCCMKT01,577,26.14453614,91.73617216,171,car,average,3,0,02-11-2016,14:30:00,2016-02-11 14:30:00,11.25339812818136,0.29636048526863085,1.0,2,4.092720970537262,0.2506796256362719
500,BHMBCCMKT01,577,26.14453614,91.73617216,153,car,average,4,0,02-11-2016,14:56:00,2016-02-11 14:56:00,11.649019797635864,0.2651646447140381,1.0,2,5.530329289428076,0.32980395952717273
501,BHMBCCMKT01,577,26.14453614,91.73617216,130,bike,low,3,0,02-11-2016,15:29:00,2016-02-11 15:29:00,11.35188622310885,0.22530329289428075,0.5,1,4.450606585788561,0.2703772446217704
502,BHMBCCMKT01,577,26.14453614,91.73617216,125,car,average,2,0,02-11-2016,16:03:00,2016-02-11 16:03:00,10.796728148069619,0.21663778162911612,1.0,2,2.433275563258232,0.15934562961392393
503,BHMBCCMKT01,577,26.14453614,91.73617216,115,car,average,2,0,02-11-2016,16:30:00,2016-02-11 16:30:00,10.787189349529427,0.19930675909878684,1.0,2,2.398613518197574,0.15743786990588535
1026,BHMBCCMKT01,577,26.14453614,91.73617216,18,bike,low,1,0,02-12-2016,07:55:00,2016-02-12 07:55:00,10.419468665804988,0.03119584055459272,0.5,1,1.0623916811091854,0.08389373316099735
1027,BHMBCCMKT01,577,26.14453614,91.73617216,24,car,low,1,0,02-12-2016,08:28:00,2016-02-12 08:28:00,10.562789113871387,0.0415944540727903,1.0,1,1.5831889081455806,0.11255782277427731
1028,BHMBCCMKT01,577,26.14453614,91.73617216,40,cycle,low,2,0,02-12-2016,09:01:00,2016-02-12 09:01:00,10.79820666184335,0.06932409012131716,0.3,1,2.4386481802426343,0.1596413323686699
1029,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,1,0,02-12-2016,09:28:00,2016-02-12 09:28:00,10.595221028908043,0.10051993067590988,1.0,1,1.7010398613518198,0.11904420578160854
1030,BHMBCCMKT01,577,26.14453614,91.73617216,91,car,low,2,0,02-12-2016,10:02:00,2016-02-12 10:02:00,11.039490570917533,0.15771230502599654,1.0,1,3.315424610051993,0.20789811418350626
1031,BHMBCCMKT01,577,26.14453614,91.73617216,122,car,low,2,0,02-12-2016,10:28:00,2016-02-12 10:28:00,11.06906084639213,0.21143847487001732,1.0,1,3.4228769497400346,0.21381216927842592
1032,BHMBCCMKT01,577,26.14453614,91.73617216,155,car,average,4,0,02-12-2016,11:01:00,2016-02-12 11:01:00,11.650927557343902,0.268630849220104,1.0,2,5.537261698440208,0.33018551146878045
1033,BHMBCCMKT01,577,26.14453614,91.73617216,181,cycle,average,5,0,02-12-2016,11:28:00,2016-02-12 11:28:00,11.89588390385606,0.31369150779896016,0.3,2,6.427383015597921,0.3791767807712117
1034,BHMBCCMKT01,577,26.14453614,91.73617216,197,cycle,high,7,0,02-12-2016,12:01:00,2016-02-12 12:01:00,12.461534657289503,0.341421143847487,0.3,3,8.482842287694975,0.49230693145790055
1035,BHMBCCMKT01,577,26.14453614,91.73617216,196,bike,high,7,0,02-12-2016,12:28:00,2016-02-12 12:28:00,12.515619645012396,0.3396880415944541,0.5,3,8.679376083188908,0.5031239290024793
1036,BHMBCCMKT01,577,26.14453614,91.73617216,200,bike,high,7,0,02-12-2016,12:58:00,2016-02-12 12:58:00,12.519435164428474,0.3466204506065858,0.5,3,8.693240901213171,0.5038870328856947
1037,BHMBCCMKT01,577,26.14453614,91.73617216,203,car,high,6,0,02-12-2016,13:25:00,2016-02-12 13:25:00,12.247102466105964,0.35181975736568455,1.0,3,7.703639514731369,0.4494204932211928
1038,BHMBCCMKT01,577,26.14453614,91.73617216,196,car,average,5,0,02-12-2016,13:58:00,2016-02-12 13:58:00,12.102828138185547,0.3396880415944541,1.0,2,7.179376083188908,0.42056562763710903
1039,BHMBCCMKT01,577,26.14453614,91.73617216,186,bike,average,4,0,02-12-2016,14:25:00,2016-02-12 14:25:00,11.542900663876217,0.3223570190641248,0.5,2,5.1447140381282495,0.3085801327752433
1040,BHMBCCMKT01,577,26.14453614,91.73617216,175,car,average,4,0,02-12-2016,14:58:00,2016-02-12 14:58:00,11.670005154424288,0.30329289428076256,1.0,2,5.606585788561525,0.33400103088485766
1041,BHMBCCMKT01,577,26.14453614,91.73617216,149,bike,low,2,0,02-12-2016,15:31:00,2016-02-12 15:31:00,10.957218433508366,0.2582322357019064,0.5,1,3.016464471403813,0.19144368670167336
1042,BHMBCCMKT01,577,26.14453614,91.73617216,131,car,average,3,0,02-12-2016,15:58:00,2016-02-12 15:58:00,11.215242934020587,0.2270363951473137,1.0,2,3.954072790294627,0.24304858680411745
1043,BHMBCCMKT01,577,26.14453614,91.73617216,105,bike,low,1,0,02-12-2016,16:32:00,2016-02-12 16:32:00,10.502456213104665,0.18197573656845753,0.5,1,1.3639514731369151,0.10049124262093317
504,BHMBCCMKT01,577,26.14453614,91.73617216,51,car,low,1,0,03-11-2016,08:00:00,2016-03-11 08:00:00,10.588543869929907,0.08838821490467938,1.0,1,1.6767764298093588,0.11770877398598154
505,BHMBCCMKT01,577,26.14453614,91.73617216,56,car,low,1,0,03-11-2016,08:26:00,2016-03-11 08:26:00,10.593313269200005,0.09705372616984402,1.0,1,1.694107452339688,0.11866265384000083
506,BHMBCCMKT01,577,26.14453614,91.73617216,60,cycle,low,1,0,03-11-2016,09:00:00,2016-03-11 09:00:00,10.404492752096884,0.10398613518197573,0.3,1,1.0079722703639515,0.08089855041937677
507,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,1,0,03-11-2016,09:26:00,2016-03-11 09:26:00,10.616206385696467,0.1386481802426343,1.0,1,1.7772963604852685,0.12324127713929345
508,BHMBCCMKT01,577,26.14453614,91.73617216,119,car,low,3,0,03-11-2016,10:00:00,2016-03-11 10:00:00,11.478990713656923,0.20623916811091855,1.0,1,4.912478336221837,0.2957981427313847
509,BHMBCCMKT01,577,26.14453614,91.73617216,138,car,low,2,0,03-11-2016,10:26:00,2016-03-11 10:26:00,11.084322924056437,0.2391681109185442,1.0,1,3.4783362218370883,0.21686458481128768
510,BHMBCCMKT01,577,26.14453614,91.73617216,185,car,average,5,0,03-11-2016,11:00:00,2016-03-11 11:00:00,12.092335459791332,0.32062391681109187,1.0,2,7.1412478336221845,0.41846709195826665
511,BHMBCCMKT01,577,26.14453614,91.73617216,195,car,high,6,0,03-11-2016,11:26:00,2016-03-11 11:26:00,12.23947142727381,0.3379549393414211,1.0,3,7.675909878682843,0.44789428545476195
512,BHMBCCMKT01,577,26.14453614,91.73617216,195,car,high,7,0,03-11-2016,12:00:00,2016-03-11 12:00:00,12.652262934100662,0.3379549393414211,1.0,3,9.175909878682843,0.5304525868201323
513,BHMBCCMKT01,577,26.14453614,91.73617216,191,truck,high,7,0,03-11-2016,12:26:00,2016-03-11 12:26:00,12.786044583626868,0.3310225303292894,1.5,3,9.66204506065858,0.5572089167253736
514,BHMBCCMKT01,577,26.14453614,91.73617216,196,truck,high,7,0,03-11-2016,12:59:00,2016-03-11 12:59:00,12.790813982896964,0.3396880415944541,1.5,3,9.679376083188908,0.5581627965793929
515,BHMBCCMKT01,577,26.14453614,91.73617216,191,truck,high,7,0,03-11-2016,13:26:00,2016-03-11 13:26:00,12.786044583626868,0.3310225303292894,1.5,3,9.66204506065858,0.5572089167253736
516,BHMBCCMKT01,577,26.14453614,91.73617216,187,car,average,5,0,03-11-2016,13:59:00,2016-03-11 13:59:00,12.094243219499372,0.3240901213171577,1.0,2,7.148180242634316,0.41884864389987436
517,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,high,5,0,03-11-2016,14:26:00,2016-03-11 14:26:00,11.80951008307461,0.30675909878682844,1.0,3,6.113518197573656,0.3619020166149221
518,BHMBCCMKT01,577,26.14453614,91.73617216,154,car,average,3,0,03-11-2016,15:00:00,2016-03-11 15:00:00,11.237182170663031,0.2668977469670711,1.0,2,4.033795493934142,0.24743643413260624
519,BHMBCCMKT01,577,26.14453614,91.73617216,142,car,low,2,0,03-11-2016,15:26:00,2016-03-11 15:26:00,11.088138443472515,0.24610051993067592,1.0,1,3.4922010398613517,0.2176276886945031
520,BHMBCCMKT01,577,26.14453614,91.73617216,120,car,low,1,0,03-11-2016,16:03:00,2016-03-11 16:03:00,10.65436157985724,0.20797227036395147,1.0,1,1.915944540727903,0.13087231597144786
521,BHMBCCMKT01,577,26.14453614,91.73617216,108,car,average,2,0,03-11-2016,16:30:00,2016-03-11 16:30:00,10.780512190551292,0.18717504332755633,1.0,2,2.3743500866551126,0.1561024381102583
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-04-10 07:59:00,10.598082668470102,0.10571923743500866,1.0,1,1.7114384748700173,0.11961653369402012
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-04-10 08:25:00,10.600944308032158,0.11091854419410745,1.0,1,1.7218370883882148,0.12018886160643169
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,2016-04-10 08:59:00,11.028997892523318,0.1386481802426343,1.0,1,3.2772963604852685,0.2057995785046638
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,2016-04-10 09:32:00,11.05475264858184,0.1854419410745234,1.0,1,3.3708838821490468,0.21095052971636802
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,2016-04-10 09:59:00,10.958172313362386,0.25996533795493937,0.5,1,3.0199306759098787,0.19163446267247722
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,2016-04-10 10:26:00,11.534315745190042,0.30675909878682844,1.0,1,5.113518197573657,0.3068631490380086
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,2016-04-10 10:59:00,12.399961712712557,0.37954939341421146,1.5,3,8.259098786828423,0.47999234254251133
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016,11:25:00,2016-04-10 11:25:00,12.151476010740529,0.42807625649913345,1.0,2,7.356152512998268,0.43029520214810596
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,04-10-2016,11:59:00,2016-04-10 11:59:00,11.970286532469563,0.4488734835355286,0.3,2,6.697746967071057,0.39405730649391274
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016,12:29:00,2016-04-10 12:29:00,12.9951827416206,0.4610051993067591,0.5,3,10.422010398613518,0.5990365483241198
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,04-10-2016,13:02:00,2016-04-10 13:02:00,12.722850043298092,0.4662045060658579,1.0,3,9.432409012131716,0.5445700086596179
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,04-10-2016,13:29:00,2016-04-10 13:29:00,12.717126764173974,0.4558058925476603,1.0,3,9.411611785095321,0.5434253528347948
